Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Case ID;Attitude Toward Local Brand (STLB);Consumer Ethnocentrism (CET);Gov. Buy Local Campaign Effectiveness (PBLCE);Local Fashion Brand Love (LFBL);Perceived Price Fairness (PPF);Perceived Product Quality (PPQ);;;;;;;;;;;;;
1;0,235;1,015;0,432;0,850;0,923;0,158;;;;;;;;;;;;;
2;0,416;0,345;0,352;0,068;0,923;0,158;;;;;;;;;;;;;
3;0,400;0,921;0,462;0,311;1,518;0,715;;;;;;;;;;;;;
4;0,666;-1,080;0,201;-0,926;-0,922;-1,620;;;;;;;;;;;;;
5;0,939;0,345;0,399;0,640;0,923;0,158;;;;;;;;;;;;;
6;0,069;1,591;0,704;1,262;1,518;1,492;;;;;;;;;;;;;
7;-0,084;-0,217;0,352;-1,765;0,164;-1,097;;;;;;;;;;;;;
8;0,970;-2,764;0,685;-1,302;-2,827;-0,853;;;;;;;;;;;;;
9;0,486;0,214;1,052;0,211;0,562;-0,612;;;;;;;;;;;;;
10;-0,590;-0,128;-0,751;0,332;0,271;0,122;;;;;;;;;;;;;
11;1,422;0,342;1,037;0,985;0,916;0,958;;;;;;;;;;;;;
12;-0,280;1,146;0,413;0,444;0,909;0,199;;;;;;;;;;;;;
13;0,394;0,374;0,704;0,674;0,966;0,715;;;;;;;;;;;;;
14;-0,063;0,479;1,294;0,393;0,916;0,925;;;;;;;;;;;;;
15;0,917;-0,092;0,110;0,773;0,232;-0,118;;;;;;;;;;;;;
16;1,422;1,156;1,294;0,955;0,835;0,475;;;;;;;;;;;;;
17;-0,063;0,073;-0,176;0,955;0,650;0,447;;;;;;;;;;;;;
18;0,694;1,319;0,443;0,933;1,245;0,475;;;;;;;;;;;;;
19;-0,063;-1,073;-0,176;-1,497;-1,003;0,159;;;;;;;;;;;;;
20;0,634;0,109;0,704;0,691;0,611;0,475;;;;;;;;;;;;;
21;1,422;0,175;-0,176;0,042;0,594;-0,070;;;;;;;;;;;;;
22;0,725;0,747;0,413;0,773;0,561;-0,080;;;;;;;;;;;;;
23;0,177;-0,194;0,066;0,147;0,289;0,405;;;;;;;;;;;;;
24;0,160;1,051;0,417;0,505;0,884;0,974;;;;;;;;;;;;;
25;-0,063;0,655;-0,176;0,990;1,164;1,207;;;;;;;;;;;;;
26;0,656;-0,060;0,443;0,393;0,282;0,158;;;;;;;;;;;;;
27;-0,078;0,884;1,294;0,640;0,562;0,691;;;;;;;;;;;;;
28;-0,280;0,479;-0,176;0,661;0,916;-0,076;;;;;;;;;;;;;
29;1,422;0,884;1,294;0,691;0,562;0,206;;;;;;;;;;;;;
30;-0,014;1,156;0,084;-0,118;0,835;0,183;;;;;;;;;;;;;
31;-0,063;0,447;-0,176;0,393;0,866;1,209;;;;;;;;;;;;;
32;-2,298;-0,599;-1,295;0,121;0,643;0,239;;;;;;;;;;;;;
33;-0,738;0,875;-1,327;1,020;0,636;0,206;;;;;;;;;;;;;
34;1,422;-0,043;1,294;-0,827;-0,624;-1,208;;;;;;;;;;;;;
35;-1,248;-0,593;0,795;0,752;0,561;0,449;;;;;;;;;;;;;
36;0,401;0,709;0,810;0,803;0,593;0,757;;;;;;;;;;;;;
37;0,389;1,591;0,719;1,530;1,518;1,492;;;;;;;;;;;;;
38;1,422;0,881;-0,661;0,722;0,555;0,691;;;;;;;;;;;;;
39;0,694;1,156;0,700;1,016;0,835;-0,360;;;;;;;;;;;;;
40;1,422;0,571;0,810;0,020;0,314;-0,127;;;;;;;;;;;;;
41;-0,280;0,345;-0,176;0,479;0,923;0,138;;;;;;;;;;;;;
42;0,123;0,845;0,190;0,990;0,594;0,934;;;;;;;;;;;;;
43;-0,063;-1,205;-2,414;-0,006;-0,989;-0,603;;;;;;;;;;;;;
44;-0,999;-0,298;-0,751;0,160;-0,058;0,409;;;;;;;;;;;;;
45;-0,063;-0,090;-1,794;0,393;0,239;-0,127;;;;;;;;;;;;;
46;0,066;1,591;1,052;0,933;1,518;1,492;;;;;;;;;;;;;
47;1,422;0,747;0,323;0,423;0,561;1,000;;;;;;;;;;;;;
48;-0,063;-0,099;-0,463;1,045;0,314;0,691;;;;;;;;;;;;;
49;-0,786;0,071;-0,067;1,530;0,643;1,249;;;;;;;;;;;;;
50;-0,020;0,741;1,052;0,687;0,643;0,731;;;;;;;;;;;;;
51;-1,031;-0,462;-0,176;0,086;-0,072;-0,071;;;;;;;;;;;;;
52;-1,272;-0,323;-0,962;-0,577;-0,065;-0,813;;;;;;;;;;;;;
53;-0,259;-0,339;-3,117;0,147;0,091;-3,166;;;;;;;;;;;;;
54;0,629;-0,705;1,294;0,773;-1,319;-0,118;;;;;;;;;;;;;
55;-0,748;-1,071;-0,158;-0,096;-0,996;-0,368;;;;;;;;;;;;;
56;0,731;1,325;1,294;-1,225;1,164;0,197;;;;;;;;;;;;;
57;1,422;-0,240;1,294;-0,092;-0,592;-0,085;;;;;;;;;;;;;
58;1,422;1,325;1,294;-0,602;1,164;0,689;;;;;;;;;;;;;
59;-0,547;0,845;1,052;0,151;0,594;-1,380;;;;;;;;;;;;;
60;0,203;0,306;0,810;-0,096;-0,040;-0,085;;;;;;;;;;;;;
61;-0,063;0,034;-0,176;-0,118;-0,313;1,209;;;;;;;;;;;;;
62;-0,063;-1,345;-0,176;0,206;-1,276;0,435;;;;;;;;;;;;;
63;1,422;0,306;-2,848;-1,497;-0,040;1,209;;;;;;;;;;;;;
64;-0,297;0,921;-0,176;0,371;1,518;-0,087;;;;;;;;;;;;;
65;-0,568;-0,364;-1,537;-0,658;-0,040;-0,894;;;;;;;;;;;;;
66;0,182;0,077;-1,647;-1,497;0,561;-0,612;;;;;;;;;;;;;
67;0,199;0,751;-0,705;0,968;1,189;-1,137;;;;;;;;;;;;;
68;-1,031;-0,060;-0,444;0,371;0,282;0,475;;;;;;;;;;;;;
69;-2,005;-2,319;-0,176;0,367;-1,598;0,367;;;;;;;;;;;;;
70;-1,063;0,610;-1,624;-0,386;0,282;0,433;;;;;;;;;;;;;
71;-0,063;0,476;0,432;-0,875;0,289;0,197;;;;;;;;;;;;;
72;-0,285;-0,979;1,052;-1,229;-1,598;0,150;;;;;;;;;;;;;
73;1,156;-0,979;1,294;-0,952;-1,598;-0,610;;;;;;;;;;;;;
74;-0,999;-1,034;-0,176;-0,740;-0,040;-0,085;;;;;;;;;;;;;
75;-0,754;0,306;0,508;-0,386;-0,040;0,682;;;;;;;;;;;;;
76;1,422;-0,675;1,294;0,151;-1,276;0,927;;;;;;;;;;;;;
77;1,422;-0,168;1,294;1,262;-0,692;0,684;;;;;;;;;;;;;
78;0,172;0,747;0,144;-0,896;0,561;-0,321;;;;;;;;;;;;;
79;0,857;0,649;-0,726;0,505;1,245;-1,097;;;;;;;;;;;;;
80;0,416;-2,093;-0,509;0,505;-2,207;-0,893;;;;;;;;;;;;;
81;-0,813;-2,319;-0,766;1,530;-1,598;-0,368;;;;;;;;;;;;;
82;-0,525;0,646;1,294;-0,118;1,238;0,974;;;;;;;;;;;;;
83;-0,515;-0,636;-1,295;-0,411;-0,313;-0,085;;;;;;;;;;;;;
84;-0,313;-0,497;-1,537;-0,386;0,586;-0,092;;;;;;;;;;;;;
85;-0,765;1,287;-0,611;0,211;1,195;0,724;;;;;;;;;;;;;
86;-0,264;0,136;1,052;0,994;-0,369;-0,368;;;;;;;;;;;;;
87;1,422;-2,264;1,294;0,968;-3,156;0,111;;;;;;;;;;;;;
88;-1,548;1,287;0,462;-0,411;1,195;0,715;;;;;;;;;;;;;
89;-0,803;0,352;-0,176;1,314;0,841;0,689;;;;;;;;;;;;;
90;-0,803;-1,309;-0,419;0,211;-0,320;-0,328;;;;;;;;;;;;;
91;-0,731;0,136;0,810;-0,334;-0,369;0,927;;;;;;;;;;;;;
92;-0,525;-0,442;0,508;1,262;-0,972;-0,368;;;;;;;;;;;;;
93;1,422;1,012;-0,374;-0,395;0,916;0,473;;;;;;;;;;;;;
94;-0,063;-1,649;-0,419;-1,008;-1,598;-0,368;;;;;;;;;;;;;
95;-1,722;-0,497;-0,419;-0,412;0,586;-0,369;;;;;;;;;;;;;
96;-0,543;0,031;-0,400;1,530;-0,320;0,199;;;;;;;;;;;;;
97;-4,518;-2,374;-4,588;0,994;-0,040;-0,085;;;;;;;;;;;;;
98;1,422;1,421;-0,278;-0,412;1,189;-0,619;;;;;;;;;;;;;
99;-0,813;1,591;0,432;0,933;1,518;1,492;;;;;;;;;;;;;
100;1,422;0,610;-1,295;0,428;0,282;0,190;;;;;;;;;;;;;
101;-1,232;-0,092;0,156;0,151;0,232;1,209;;;;;;;;;;;;;
102;-1,548;-0,769;-0,861;-0,092;0,314;0,199;;;;;;;;;;;;;
103;-0,280;-0,534;-0,419;0,722;-0,369;-0,083;;;;;;;;;;;;;
104;-1,831;-2,319;-1,647;1,530;-1,598;0,157;;;;;;;;;;;;;
105;-0,063;-1,207;-0,176;0,483;-0,997;0,407;;;;;;;;;;;;;
106;-1,548;-1,571;-1,647;0,722;-0,667;0,190;;;;;;;;;;;;;
107;1,422;0,845;1,294;0,155;0,594;0,158;;;;;;;;;;;;;
108;-1,488;0,306;0,175;-0,118;-0,040;0,400;;;;;;;;;;;;;
109;-0,546;-1,034;-0,751;-1,765;-0,040;0,717;;;;;;;;;;;;;
110;0,220;-0,668;1,294;1,045;-0,363;-0,328;;;;;;;;;;;;;
111;-0,254;0,080;0,810;-1,791;0,569;1,492;;;;;;;;;;;;;
112;1,422;0,136;-0,944;-1,143;-0,369;-0,368;;;;;;;;;;;;;
113;0,508;-0,979;1,294;-0,118;-1,598;-0,368;;;;;;;;;;;;;
114;-0,982;-2,319;-0,098;-1,229;-1,598;-0,368;;;;;;;;;;;;;
115;-0,547;-0,092;-1,295;-0,390;0,232;-0,328;;;;;;;;;;;;;
116;0,155;0,306;-0,067;1,262;-0,040;1,209;;;;;;;;;;;;;
117;-1,265;-0,364;-0,419;0,393;-0,040;0,400;;;;;;;;;;;;;
118;-2,324;0,479;-1,103;-0,118;0,916;-0,085;;;;;;;;;;;;;
119;-1,277;-0,364;-0,158;-1,255;-0,040;-0,085;;;;;;;;;;;;;
120;0,470;-0,714;1,294;0,773;-1,244;0,651;;;;;;;;;;;;;
121;-0,015;-2,934;-0,309;-0,118;-3,156;-0,899;;;;;;;;;;;;;
122;-0,547;-0,015;-0,176;-0,118;1,164;1,492;;;;;;;;;;;;;
123;0,263;0,884;1,052;0,444;0,562;0,967;;;;;;;;;;;;;
124;-0,063;-2,499;-0,176;-0,386;-2,473;-1,937;;;;;;;;;;;;;
125;-1,548;-2,319;-1,405;0,397;-1,598;-1,170;;;;;;;;;;;;;
126;1,422;1,325;1,294;-0,118;1,164;-1,097;;;;;;;;;;;;;
127;-0,999;0,617;-0,419;0,691;1,195;0,197;;;;;;;;;;;;;
128;1,422;0,277;-0,278;-0,118;-0,083;-0,085;;;;;;;;;;;;;
129;0,682;0,205;-0,343;-0,364;0,636;-1,380;;;;;;;;;;;;;
130;1,422;-0,270;0,795;1,262;-0,635;0,190;;;;;;;;;;;;;
131;0,155;0,578;-0,176;1,262;0,232;1,209;;;;;;;;;;;;;
132;1,422;0,750;0,175;-1,178;0,569;1,492;;;;;;;;;;;;;
133;-0,982;0,571;-1,889;-0,412;0,314;0,157;;;;;;;;;;;;;
134;-1,548;-1,034;-1,647;1,262;-0,040;-0,887;;;;;;;;;;;;;
135;0,155;-1,207;0,175;-0,066;-0,997;-0,050;;;;;;;;;;;;;
136;0,459;0,041;0,413;0,933;-0,394;0,691;;;;;;;;;;;;;
137;0,672;-0,364;1,294;0,099;-0,040;-1,137;;;;;;;;;;;;;
138;0,220;-0,364;-0,400;0,505;-0,040;0,682;;;;;;;;;;;;;
139;0,199;0,306;0,190;-0,386;-0,040;0,724;;;;;;;;;;;;;
140;0,634;1,012;0,432;0,933;0,916;-0,295;;;;;;;;;;;;;
141;0,634;-0,272;0,352;0,393;-0,642;-0,085;;;;;;;;;;;;;
142;0,687;0,751;0,367;0,799;1,189;-0,085;;;;;;;;;;;;;
143;0,416;-0,364;0,750;-0,313;-0,040;-0,085;;;;;;;;;;;;;
144;0,666;1,591;0,413;0,751;1,518;1,006;;;;;;;;;;;;;
145;0,666;0,921;0,704;-0,178;1,518;1,207;;;;;;;;;;;;;
146;0,634;-1,649;0,765;-0,935;-1,598;-2,672;;;;;;;;;;;;;
147;0,943;-0,636;0,942;0,933;-0,313;0,934;;;;;;;;;;;;;
148;0,704;1,012;0,750;1,262;0,916;0,731;;;;;;;;;;;;;
149;0,160;0,306;0,432;0,479;-0,040;0,960;;;;;;;;;;;;;
150;0,634;0,578;0,413;0,151;0,232;0,967;;;;;;;;;;;;;
151;0,938;-1,649;0,413;1,262;-1,598;0,435;;;;;;;;;;;;;
152;0,672;0,751;0,704;0,933;1,189;0,934;;;;;;;;;;;;;
153;0,503;-1,034;0,719;0,665;-0,040;0,190;;;;;;;;;;;;;
154;0,687;1,316;-0,029;-0,118;1,238;1,492;;;;;;;;;;;;;
155;0,938;-0,979;0,685;-0,066;-1,598;-1,662;;;;;;;;;;;;;
156;0,172;1,421;0,462;-0,118;1,189;-0,085;;;;;;;;;;;;;
157;0,720;-0,629;0,110;-0,412;-0,394;-0,085;;;;;;;;;;;;;
158;1,188;0,884;0,413;-1,190;0,562;0,960;;;;;;;;;;;;;
159;0,406;1,591;0,062;-0,118;1,518;0,197;;;;;;;;;;;;;
160;0,486;0,476;1,052;0,968;0,909;-0,085;;;;;;;;;;;;;
161;-0,590;-0,629;-0,751;1,236;-0,394;0,440;;;;;;;;;;;;;
162;1,422;0,921;1,037;-0,693;1,518;1,207;;;;;;;;;;;;;
163;-0,280;-0,979;0,413;-0,334;-1,598;0,927;;;;;;;;;;;;;
164;0,394;-0,364;0,704;0,717;-0,040;0,925;;;;;;;;;;;;;
165;-0,063;0,921;1,294;0,129;1,518;-1,097;;;;;;;;;;;;;
166;0,917;0,921;0,110;0,151;1,518;0,440;;;;;;;;;;;;;
167;1,422;1,319;1,294;-0,118;1,245;0,440;;;;;;;;;;;;;
168;-0,063;-0,364;-0,176;-0,118;-0,040;1,209;;;;;;;;;;;;;
169;0,694;-0,168;0,443;1,262;-0,692;0,651;;;;;;;;;;;;;
170;-0,063;0,175;-0,176;1,262;0,594;-1,380;;;;;;;;;;;;;
171;0,634;-0,904;0,704;0,176;-0,674;-2,674;;;;;;;;;;;;;
172;1,422;-1,649;-0,176;-0,178;-1,598;0,643;;;;;;;;;;;;;
173;0,725;1,316;0,413;1,262;1,238;1,249;;;;;;;;;;;;;
174;0,177;0,345;0,066;0,151;0,923;-0,822;;;;;;;;;;;;;
175;0,160;1,012;0,417;1,262;0,916;0,197;;;;;;;;;;;;;
176;-0,063;-0,092;-0,176;0,773;0,232;-0,612;;;;;;;;;;;;;
177;0,656;-1,375;0,443;-0,118;-1,319;0,677;;;;;;;;;;;;;
178;-0,078;1,591;1,294;0,614;1,518;0,715;;;;;;;;;;;;;
179;-0,280;0,655;-0,176;-0,118;1,164;0,447;;;;;;;;;;;;;
180;1,422;-0,979;1,294;-0,096;-1,598;0,927;;;;;;;;;;;;;
181;-0,014;0,041;0,084;-0,096;-0,394;0,475;;;;;;;;;;;;;
182;-0,063;-0,364;-0,176;0,176;-0,040;-1,380;;;;;;;;;;;;;
183;-2,298;-1,034;-1,295;-0,118;-0,040;-0,085;;;;;;;;;;;;;
184;-0,738;1,591;-1,327;-0,983;1,518;0,689;;;;;;;;;;;;;
185;1,422;-0,714;1,294;-1,765;-1,244;0,192;;;;;;;;;;;;;
186;-1,248;-0,191;0,795;-1,817;0,916;-0,085;;;;;;;;;;;;;
187;0,401;1,591;0,810;-1,497;1,518;-0,087;;;;;;;;;;;;;
188;0,389;0,306;0,719;-1,497;-0,040;0,158;;;;;;;;;;;;;
189;1,422;-0,240;-0,661;0,994;-0,592;-1,629;;;;;;;;;;;;;
190;0,694;1,012;0,700;0,990;0,916;1,492;;;;;;;;;;;;;
191;1,422;0,306;0,810;0,423;-0,040;0,158;;;;;;;;;;;;;
192;-0,280;0,211;-0,176;-0,658;0,555;-0,853;;;;;;;;;;;;;
193;0,123;0,747;0,190;0,176;0,561;0,974;;;;;;;;;;;;;
194;-0,063;0,921;-2,414;-0,926;1,518;-0,052;;;;;;;;;;;;;
195;-0,999;-0,364;-0,751;-1,229;-0,040;-0,361;;;;;;;;;;;;;
196;-0,063;-0,534;-1,794;1,262;-0,369;-1,662;;;;;;;;;;;;;
197;0,066;1,287;1,052;0,406;1,195;0,689;;;;;;;;;;;;;
198;1,422;1,156;0,323;1,530;0,835;-0,085;;;;;;;;;;;;;
199;-0,063;0,381;-0,463;-0,118;0,884;1,492;;;;;;;;;;;;;
200;-0,786;-0,364;-0,067;0,397;-0,040;-0,085;;;;;;;;;;;;;
201;-0,020;1,591;1,052;0,483;1,518;-2,392;;;;;;;;;;;;;
202;-1,031;-0,099;-0,176;0,211;0,314;0,433;;;;;;;;;;;;;
203;-1,272;-0,099;-0,962;0,151;0,314;-0,085;;;;;;;;;;;;;
204;-0,259;0,617;-3,117;1,262;1,195;0,724;;;;;;;;;;;;;
205;0,629;-0,263;1,294;-0,632;-0,717;1,209;;;;;;;;;;;;;
206;-0,748;-0,364;-0,158;-0,446;-0,040;-0,887;;;;;;;;;;;;;
207;0,731;0,306;1,294;0,151;-0,040;0,158;;;;;;;;;;;;;
208;1,422;0,041;1,294;-0,412;-0,394;-0,335;;;;;;;;;;;;;
209;1,422;1,054;1,294;-0,118;0,891;-0,045;;;;;;;;;;;;;
210;-0,547;-0,136;1,052;-0,118;-0,642;0,677;;;;;;;;;;;;;
211;0,203;0,476;0,810;0,799;0,289;1,492;;;;;;;;;;;;;
212;-0,063;0,136;-0,176;-0,987;-0,369;0,442;;;;;;;;;;;;;
213;-0,063;-0,099;-0,176;0,639;0,314;0,199;;;;;;;;;;;;;
214;1,422;-0,979;-2,848;0,444;-1,598;-0,368;;;;;;;;;;;;;
215;-0,297;-0,092;-0,176;1,530;0,232;-0,120;;;;;;;;;;;;;
216;-0,568;0,479;-1,537;1,262;0,916;-0,085;;;;;;;;;;;;;
217;0,182;0,342;-1,647;-1,497;0,916;1,492;;;;;;;;;;;;;
218;0,199;0,476;-0,705;-0,364;0,909;1,209;;;;;;;;;;;;;
219;-1,031;0,182;-0,444;0,445;0,512;-0,085;;;;;;;;;;;;;
220;-2,005;0,251;-0,176;0,748;1,518;0,197;;;;;;;;;;;;;
221;-1,063;-0,240;-1,624;-0,114;-0,592;0,717;;;;;;;;;;;;;
222;-0,063;0,306;0,432;0,968;-0,040;0,682;;;;;;;;;;;;;
223;-0,285;0,306;1,052;0,985;-0,040;-0,085;;;;;;;;;;;;;
