Latent Variable;;;;;;;;;;;;;;;;;;;
224;1,156;1,316;1,294;-1,229;1,238;0,197;;;;;;;;;;;;;
225;-0,999;0,081;-0,176;0,665;1,189;-2,674;;;;;;;;;;;;;
226;-0,754;-0,410;0,508;-0,386;-0,922;-0,368;;;;;;;;;;;;;
227;1,422;1,591;1,294;1,262;1,518;-0,855;;;;;;;;;;;;;
228;1,422;0,306;1,294;1,262;-0,040;0,676;;;;;;;;;;;;;
229;0,172;0,306;0,144;1,020;-0,040;-0,085;;;;;;;;;;;;;
230;0,857;0,921;-0,726;-0,658;1,518;0,171;;;;;;;;;;;;;
231;0,416;-0,364;-0,509;1,530;-0,040;0,967;;;;;;;;;;;;;
232;-0,813;-0,599;-0,766;-0,096;0,643;0,197;;;;;;;;;;;;;
233;-0,525;0,211;1,294;0,129;0,555;0,158;;;;;;;;;;;;;
234;-0,515;-1,649;-1,295;1,236;-1,598;-0,368;;;;;;;;;;;;;
235;-0,313;-1,603;-1,537;-0,143;-0,717;0,967;;;;;;;;;;;;;
236;-0,765;-0,401;-0,611;-0,987;-0,996;-0,643;;;;;;;;;;;;;
237;-0,264;-0,979;1,052;-1,765;-1,598;-0,092;;;;;;;;;;;;;
238;1,422;0,306;1,294;0,151;-0,040;-0,612;;;;;;;;;;;;;
239;-1,548;0,571;0,462;-2,877;0,314;-1,655;;;;;;;;;;;;;
240;-0,803;-0,364;-0,176;-0,926;-0,040;-1,104;;;;;;;;;;;;;
241;-0,803;-2,319;-0,419;-0,632;-1,598;0,124;;;;;;;;;;;;;
242;-0,731;0,306;0,810;0,099;-0,040;-0,085;;;;;;;;;;;;;
243;-0,525;-0,535;0,508;-0,628;-0,989;-1,380;;;;;;;;;;;;;
244;1,422;0,884;-0,374;0,176;0,562;-1,380;;;;;;;;;;;;;
245;-0,063;0,345;-0,419;1,530;0,923;0,724;;;;;;;;;;;;;
246;-1,722;-1,299;-0,419;-0,896;-0,394;0,967;;;;;;;;;;;;;
247;-0,543;1,287;-0,400;0,211;1,195;0,197;;;;;;;;;;;;;
248;-4,518;-3,385;-4,588;1,262;-1,319;-0,383;;;;;;;;;;;;;
249;1,422;0,881;-0,278;-0,386;0,555;1,209;;;;;;;;;;;;;
250;-0,813;0,002;0,432;0,176;-0,363;-1,380;;;;;;;;;;;;;
251;1,422;0,136;-1,295;0,155;-0,369;0,677;;;;;;;;;;;;;
252;-1,232;-0,364;0,156;-0,118;-0,040;-0,085;;;;;;;;;;;;;
253;-1,548;-0,191;-0,861;-0,875;-1,003;0,927;;;;;;;;;;;;;
254;-0,280;0,581;-0,419;0,099;-0,040;0,682;;;;;;;;;;;;;
255;-1,831;-0,762;-1,647;-0,628;-0,996;-2,180;;;;;;;;;;;;;
256;-0,063;-1,375;-0,176;-0,118;-0,953;-1,662;;;;;;;;;;;;;
257;-1,548;-0,867;-1,647;-1,765;-1,542;-1,662;;;;;;;;;;;;;
258;1,422;0,843;1,294;1,262;1,164;1,249;;;;;;;;;;;;;
259;-1,488;-0,535;0,175;-0,386;-1,530;-2,445;;;;;;;;;;;;;
260;-0,546;-1,498;-0,751;-1,765;-0,997;-0,652;;;;;;;;;;;;;
261;0,220;-0,090;1,294;0,099;-0,182;-1,144;;;;;;;;;;;;;
262;-0,254;0,374;0,810;-0,386;-0,270;-0,050;;;;;;;;;;;;;
263;1,422;1,146;-0,944;0,829;-0,245;0,715;;;;;;;;;;;;;
264;0,508;1,149;1,294;1,530;0,909;1,492;;;;;;;;;;;;;
265;-0,982;-0,488;-0,098;-1,688;-0,599;-1,387;;;;;;;;;;;;;
266;-0,547;-0,364;-1,295;-1,471;-1,187;-0,335;;;;;;;;;;;;;
267;0,155;0,875;-0,067;0,908;-1,467;0,440;;;;;;;;;;;;;
268;-1,265;0,205;-0,419;-1,765;-1,598;-1,662;;;;;;;;;;;;;
269;-2,324;-0,070;-1,103;0,406;-1,648;-3,320;;;;;;;;;;;;;
270;-1,277;0,617;-0,158;-1,255;-1,276;-1,906;;;;;;;;;;;;;
271;0,470;-0,401;1,294;1,530;1,238;1,006;;;;;;;;;;;;;
272;-0,015;0,211;-0,309;0,129;-0,245;-0,286;;;;;;;;;;;;;
273;-0,547;-0,696;-0,176;-0,251;-1,145;0,190;;;;;;;;;;;;;
274;0,263;1,044;1,052;-0,062;0,003;0,191;;;;;;;;;;;;;
275;-0,063;-0,636;-0,176;-0,118;0,282;-0,085;;;;;;;;;;;;;
276;-1,548;-0,325;-1,405;-2,579;-1,276;-1,177;;;;;;;;;;;;;
277;1,422;1,319;1,294;1,530;1,245;1,492;;;;;;;;;;;;;
278;-0,999;-0,090;-0,419;-0,602;-1,269;-0,853;;;;;;;;;;;;;
279;1,422;1,022;-0,278;1,530;-1,513;-0,044;;;;;;;;;;;;;
280;0,682;-0,060;-0,343;0,211;0,555;1,492;;;;;;;;;;;;;
281;1,422;0,712;0,795;1,020;1,518;0,965;;;;;;;;;;;;;
282;0,155;0,476;-0,176;-0,216;-0,072;-0,085;;;;;;;;;;;;;
283;1,422;0,750;0,175;0,674;-0,889;0,475;;;;;;;;;;;;;
284;-0,982;0,338;-1,889;-0,953;-1,226;-1,695;;;;;;;;;;;;;
285;-1,548;-0,289;-1,647;-1,765;-1,878;-1,662;;;;;;;;;;;;;
286;0,155;-1,003;0,175;-0,118;0,289;1,006;;;;;;;;;;;;;
287;0,459;0,852;0,413;0,614;-0,270;-0,577;;;;;;;;;;;;;
288;0,672;0,486;1,294;1,020;0,239;0,440;;;;;;;;;;;;;
289;0,220;0,921;-0,400;0,125;-0,592;0,239;;;;;;;;;;;;;
290;0,199;0,845;0,190;-0,334;-0,270;0,682;;;;;;;;;;;;;
291;0,666;0,845;0,413;0,687;0,966;0,400;;;;;;;;;;;;;
292;0,421;-0,168;0,367;0,176;1,238;1,249;;;;;;;;;;;;;
293;0,486;0,384;0,700;0,367;0,594;0,689;;;;;;;;;;;;;
294;-0,063;0,214;0,323;0,164;0,884;0,123;;;;;;;;;;;;;
295;0,725;0,201;0,462;0,428;0,966;0,689;;;;;;;;;;;;;
296;0,634;-1,007;0,062;0,990;0,158;1,000;;;;;;;;;;;;;
297;0,666;0,401;0,413;0,687;0,966;0,400;;;;;;;;;;;;;
298;0,421;0,843;0,367;0,176;1,238;1,249;;;;;;;;;;;;;
299;0,486;0,182;0,700;0,367;0,594;0,689;;;;;;;;;;;;;
300;-0,063;0,173;0,323;0,164;0,884;0,123;;;;;;;;;;;;;
301;0,725;1,591;0,462;0,428;0,966;0,689;;;;;;;;;;;;;
302;0,634;0,006;0,062;0,990;0,158;1,000;;;;;;;;;;;;;
303;-0,063;0,103;-0,176;-0,118;-0,040;-0,085;;;;;;;;;;;;;
304;-2,298;-1,642;-1,295;-2,388;-1,821;-1,904;;;;;;;;;;;;;
305;-0,063;-0,910;-2,414;-0,875;-0,270;-0,335;;;;;;;;;;;;;
306;-0,999;0,384;-0,751;-1,178;-0,270;-0,335;;;;;;;;;;;;;
307;-0,063;-0,162;-1,794;-0,118;-0,635;-0,085;;;;;;;;;;;;;
308;-0,786;-1,377;-0,067;-0,230;-0,344;-0,859;;;;;;;;;;;;;
309;-1,031;-1,017;-0,176;-1,225;-0,865;-1,135;;;;;;;;;;;;;
310;0,629;-0,168;1,294;1,530;0,693;-0,085;;;;;;;;;;;;;
311;-2,005;-0,456;-0,176;-2,826;-0,872;-1,177;;;;;;;;;;;;;
312;-1,063;0,612;-1,624;-0,815;-2,468;-2,972;;;;;;;;;;;;;
313;-1,232;-0,194;0,156;-3,119;-0,816;0,433;;;;;;;;;;;;;
314;-1,548;-0,497;-0,861;-1,765;-0,947;-1,662;;;;;;;;;;;;;
315;1,422;-0,061;-0,944;0,829;-0,245;0,715;;;;;;;;;;;;;
316;-0,547;-0,575;-1,295;-1,471;-1,187;-0,335;;;;;;;;;;;;;
317;0,155;-0,231;-0,067;0,908;-1,467;0,440;;;;;;;;;;;;;
318;-1,265;-0,627;-0,419;-1,765;-1,598;-1,662;;;;;;;;;;;;;
319;-1,277;-0,092;-0,158;-1,255;-1,276;-1,906;;;;;;;;;;;;;
320;-2,267;-1,245;-1,587;-2,328;-1,782;-2,996;;;;;;;;;;;;;
321;-1,265;1,054;-1,360;-2,229;-1,548;-0,927;;;;;;;;;;;;;
322;-0,765;0,479;-1,870;-2,012;-0,642;-1,137;;;;;;;;;;;;;
323;0,704;1,251;0,367;0,505;0,966;0,965;;;;;;;;;;;;;
324;0,634;-0,092;0,413;0,908;0,923;0,724;;;;;;;;;;;;;
325;0,939;-0,705;0,656;0,773;0,569;0,757;;;;;;;;;;;;;
326;0,694;-0,197;0,413;0,942;0,413;0,965;;;;;;;;;;;;;
327;0,922;0,843;0,656;0,639;1,164;0,691;;;;;;;;;;;;;
328;0,421;-0,535;0,656;0,717;0,884;1,000;;;;;;;;;;;;;
329;0,874;-0,828;0,765;-0,019;0,413;0,724;;;;;;;;;;;;;
330;0,639;0,580;0,685;0,505;0,966;0,650;;;;;;;;;;;;;
331;0,694;0,374;0,685;0,016;0,966;1,000;;;;;;;;;;;;;
332;0,943;0,476;0,719;0,691;0,966;0,691;;;;;;;;;;;;;
333;0,943;1,149;0,700;0,990;1,195;0,689;;;;;;;;;;;;;
334;0,682;0,182;1,052;0,942;0,866;0,689;;;;;;;;;;;;;
335;0,900;-0,364;0,685;0,639;0,916;1,000;;;;;;;;;;;;;
336;0,421;0,205;0,704;0,458;0,232;0,405;;;;;;;;;;;;;
337;0,922;0,205;0,674;0,768;0,884;0,932;;;;;;;;;;;;;
338;0,666;0,600;0,413;0,722;0,966;0,407;;;;;;;;;;;;;
339;0,704;1,287;0,523;-0,057;0,561;0,442;;;;;;;;;;;;;
340;0,905;-1,071;0,700;0,990;1,238;1,249;;;;;;;;;;;;;
341;0,465;0,881;0,062;0,134;0,841;0,442;;;;;;;;;;;;;
342;0,704;-0,026;0,462;0,155;0,923;0,442;;;;;;;;;;;;;
343;0,656;1,044;1,037;0,147;0,884;0,689;;;;;;;;;;;;;
344;0,900;0,034;0,961;-0,023;-0,270;0,689;;;;;;;;;;;;;
345;0,699;1,015;0,413;0,614;0,916;0,717;;;;;;;;;;;;;
346;0,448;1,319;0,413;0,773;0,916;0,717;;;;;;;;;;;;;
347;0,938;0,580;1,007;0,470;0,966;0,691;;;;;;;;;;;;;
348;0,905;1,022;0,685;0,773;0,966;0,689;;;;;;;;;;;;;
349;0,666;-0,060;0,656;0,942;0,562;0,965;;;;;;;;;;;;;
350;0,938;0,712;1,007;0,717;0,923;0,689;;;;;;;;;;;;;
351;0,922;0,476;0,656;0,738;0,561;0,717;;;;;;;;;;;;;
352;-0,786;0,080;-0,067;-0,230;-0,344;-0,859;;;;;;;;;;;;;
353;-0,020;0,338;1,052;0,423;0,282;0,158;;;;;;;;;;;;;
354;-1,031;0,381;-0,176;-1,225;-0,865;-1,135;;;;;;;;;;;;;
355;-1,272;-1,003;-0,962;-1,229;0,003;-0,052;;;;;;;;;;;;;
356;-0,259;0,182;-3,117;0,206;0,010;-0,829;;;;;;;;;;;;;
357;0,629;1,156;1,294;1,530;0,693;-0,085;;;;;;;;;;;;;
358;-0,748;0,921;-0,158;-0,880;-0,270;-0,335;;;;;;;;;;;;;
359;0,731;0,845;1,294;-0,118;-0,047;0,473;;;;;;;;;;;;;
360;1,422;0,845;1,294;1,530;1,238;1,492;;;;;;;;;;;;;
361;1,422;-0,168;1,294;1,530;0,966;1,000;;;;;;;;;;;;;
362;-0,547;1,054;1,052;-0,334;0,010;-0,094;;;;;;;;;;;;;
363;0,203;0,884;0,810;-0,680;-1,276;0,197;;;;;;;;;;;;;
364;-0,063;0,201;-0,176;-1,225;-0,997;-0,610;;;;;;;;;;;;;
365;-0,063;-1,007;-0,176;-0,118;-0,369;-0,085;;;;;;;;;;;;;
366;1,422;0,401;-2,848;1,530;0,421;1,492;;;;;;;;;;;;;
367;-0,297;0,173;-0,176;-1,736;-0,585;-0,612;;;;;;;;;;;;;
368;-0,568;0,182;-1,537;-1,207;-0,592;-2,187;;;;;;;;;;;;;
369;0,182;0,173;-1,647;-0,446;-0,040;-0,577;;;;;;;;;;;;;
370;0,199;0,921;-0,705;1,530;-0,971;-1,662;;;;;;;;;;;;;
371;-1,031;0,006;-0,444;-0,524;-2,423;-1,426;;;;;;;;;;;;;
372;-2,005;-0,567;-0,176;-2,826;-0,872;-1,177;;;;;;;;;;;;;
373;-1,063;-0,302;-1,624;-0,815;-2,468;-2,972;;;;;;;;;;;;;
374;-0,063;-0,240;0,432;-0,118;0,282;-0,085;;;;;;;;;;;;;
375;-0,285;1,054;1,052;-2,544;-0,072;0,190;;;;;;;;;;;;;
376;1,156;0,508;1,294;0,990;0,693;1,209;;;;;;;;;;;;;
377;-0,999;-2,047;-0,176;-1,008;-0,592;-1,387;;;;;;;;;;;;;
378;-0,754;-0,347;0,508;-1,471;-0,947;-0,302;;;;;;;;;;;;;
379;1,422;-0,168;1,294;0,649;-0,419;1,492;;;;;;;;;;;;;
380;1,422;0,884;1,294;1,530;1,518;1,492;;;;;;;;;;;;;
381;0,172;0,612;0,144;-0,658;-0,401;-1,872;;;;;;;;;;;;;
382;0,857;-0,194;-0,726;-1,688;-0,362;-0,052;;;;;;;;;;;;;
383;0,416;0,173;-0,509;0,505;0,371;0,199;;;;;;;;;;;;;
384;-0,813;-1,401;-0,766;-0,957;-0,313;0,190;;;;;;;;;;;;;
385;-0,525;-0,575;1,294;-0,680;-0,550;-0,369;;;;;;;;;;;;;
386;-0,515;-0,901;-1,295;-0,581;-0,592;0,158;;;;;;;;;;;;;
387;-0,313;-1,297;-1,537;-1,864;0,010;-1,629;;;;;;;;;;;;;
388;-0,765;0,578;-0,611;-0,957;-0,592;-0,861;;;;;;;;;;;;;
389;-0,264;0,095;1,052;-0,092;-0,270;-0,577;;;;;;;;;;;;;
390;1,422;1,054;1,294;1,530;1,189;1,242;;;;;;;;;;;;;
391;-1,548;-0,979;0,462;0,151;-0,953;-1,419;;;;;;;;;;;;;
392;-0,803;-0,627;-0,176;-0,715;-0,947;-1,170;;;;;;;;;;;;;
393;-0,803;-1,750;-0,419;-0,961;-1,003;-0,928;;;;;;;;;;;;;
394;-0,731;0,440;0,810;-0,871;-0,238;0,223;;;;;;;;;;;;;
395;-0,525;-0,126;0,508;-1,675;-1,176;-1,137;;;;;;;;;;;;;
396;1,422;1,591;-0,374;0,943;0,860;1,492;;;;;;;;;;;;;
397;-0,063;-0,364;-0,419;-0,118;-0,320;-0,085;;;;;;;;;;;;;
398;-1,722;-2,591;-0,419;-1,391;-0,295;-1,102;;;;;;;;;;;;;
399;-0,543;0,750;-0,400;-0,823;-0,188;-0,610;;;;;;;;;;;;;
400;-4,518;-6,059;-4,588;-5,061;-4,714;-4,816;;;;;;;;;;;;;
401;1,422;1,319;-0,278;0,423;1,518;0,750;;;;;;;;;;;;;
402;-0,813;-0,705;0,432;-1,095;-1,269;-0,853;;;;;;;;;;;;;
403;1,422;1,054;-1,295;1,262;1,518;1,492;;;;;;;;;;;;;
404;-1,232;-2,016;0,156;-3,119;-0,816;0,433;;;;;;;;;;;;;
405;-1,548;-2,319;-0,861;-1,765;-0,947;-1,662;;;;;;;;;;;;;
406;-0,280;-0,364;-0,419;-0,386;-0,040;-0,335;;;;;;;;;;;;;
407;-1,831;-2,319;-1,647;-2,250;-2,150;-1,662;;;;;;;;;;;;;
408;-0,063;-0,364;-0,176;-0,118;-0,953;-1,662;;;;;;;;;;;;;
409;-1,548;-2,319;-1,647;-1,765;-1,542;-1,662;;;;;;;;;;;;;
410;1,422;1,421;1,294;1,262;1,164;1,249;;;;;;;;;;;;;
411;-1,488;-0,705;0,175;-0,386;-1,530;-2,445;;;;;;;;;;;;;
412;-0,546;-1,574;-0,751;-1,765;-0,997;-0,652;;;;;;;;;;;;;
413;0,220;-0,090;1,294;0,099;-0,182;-1,144;;;;;;;;;;;;;
414;-0,254;-0,636;0,810;-0,386;-0,270;-0,050;;;;;;;;;;;;;
415;1,422;1,591;-0,944;0,829;-0,245;0,715;;;;;;;;;;;;;
416;0,508;0,708;1,294;1,530;0,909;1,492;;;;;;;;;;;;;
417;-0,982;-2,319;-0,098;-1,688;-0,599;-1,387;;;;;;;;;;;;;
418;-0,547;-0,806;-1,295;-1,471;-1,187;-0,335;;;;;;;;;;;;;
419;0,155;0,306;-0,067;0,908;-1,467;0,440;;;;;;;;;;;;;
420;-1,265;-1,479;-0,419;-1,765;-1,598;-1,662;;;;;;;;;;;;;
421;-2,324;-1,071;-1,103;0,406;-1,648;-3,320;;;;;;;;;;;;;
422;-1,277;-1,479;-0,158;-1,255;-1,276;-1,906;;;;;;;;;;;;;
423;0,470;1,012;1,294;1,530;1,238;1,006;;;;;;;;;;;;;
424;-0,015;-0,639;-0,309;0,129;-0,245;-0,286;;;;;;;;;;;;;
425;-0,547;-2,319;-0,176;-0,251;-1,145;0,190;;;;;;;;;;;;;
426;0,263;1,325;1,052;-0,062;0,003;0,191;;;;;;;;;;;;;
427;-0,063;-0,364;-0,176;-0,118;0,282;-0,085;;;;;;;;;;;;;
428;-1,548;-2,894;-1,405;-2,579;-1,276;-1,177;;;;;;;;;;;;;
429;1,422;1,591;1,294;1,530;1,245;1,492;;;;;;;;;;;;;
430;-0,999;-1,384;-0,419;-0,602;-1,269;-0,853;;;;;;;;;;;;;
431;1,422;1,591;-0,278;1,530;-1,513;-0,044;;;;;;;;;;;;;
432;0,682;0,655;-0,343;0,211;0,555;1,492;;;;;;;;;;;;;
433;1,422;1,319;0,795;1,020;1,518;0,965;;;;;;;;;;;;;
434;0,155;0,306;-0,176;-0,216;-0,072;-0,085;;;;;;;;;;;;;
435;1,422;1,054;0,175;0,674;-0,889;0,475;;;;;;;;;;;;;
436;-0,982;-0,714;-1,889;-0,953;-1,226;-1,695;;;;;;;;;;;;;
437;-1,548;-2,319;-1,647;-1,765;-1,878;-1,662;;;;;;;;;;;;;
438;0,155;-0,534;0,175;-0,118;0,289;1,006;;;;;;;;;;;;;
439;0,459;1,022;0,413;0,614;-0,270;-0,577;;;;;;;;;;;;;
440;0,672;-0,908;1,294;1,020;0,239;0,440;;;;;;;;;;;;;
441;0,220;-0,364;-0,400;0,125;-0,592;0,239;;;;;;;;;;;;;
442;0,199;0,750;0,190;-0,334;-0,270;0,682;;;;;;;;;;;;;
443;0,666;0,843;0,413;0,687;0,966;0,400;;;;;;;;;;;;;
444;0,948;0,852;1,037;0,228;0,594;-0,411;;;;;;;;;;;;;
445;-0,047;0,447;0,081;-0,299;0,916;0,965;;;;;;;;;;;;;
446;0,917;0,447;0,352;0,738;0,406;0,482;;;;;;;;;;;;;
447;0,725;-0,478;0,352;-0,143;0,866;0,475;;;;;;;;;;;;;
448;0,905;0,354;0,765;0,012;0,611;0,676;;;;;;;;;;;;;
449;0,102;0,655;0,413;0,419;0,923;0,960;;;;;;;;;;;;;
450;0,634;1,287;0,462;-0,065;1,238;0,407;;;;;;;;;;;;;